drug,uses
enalapril + hydrochlorothiazide, Hypertension (high blood pressure)
metformin,Treatment of Type 2 diabetes mellitus
enalapril + hydrochlorothiazide, Hypertension (high blood pressure)
ambrisentan, Pulmonary arterial hypertension (PAH)
sodium valproate + valproic acid, Epilepsy
s-amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
etoricoxib + thiocolchicoside,Treatment of Pain due to muscle spasm
amlodipine + atenolol,Treatment of Hypertension (high blood pressure)
mometasone + terbinafine,Treatment of Fungal skin infections
ebastine, Allergic conditions
enalapril,Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure
eplerenone,Treatment of Hypertension (high blood pressure)Treatment of EdemaTreatment of Heart failure
repaglinide + voglibose,Treatment of Type 2 diabetes mellitus
tretinoin,Treatment of Acne Acute promyelocytic leukaemia
hydroquinone + mometasone + tretinoin,Treatment of Melasma
etoricoxib, Pain relief
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
blonanserin, Schizophrenia Mania
eperisone + aceclofenac, Pain due to muscle spasm
levodopa + carbidopa + entacapone, Parkinson's disease
etoricoxib, Pain relief
mometasone + terbinafine,Treatment of Fungal skin infections
gliclazide,Treatment of Type 2 diabetes mellitus
mometasone,Treatment of Skin conditions with inflammation & itching
domperidone + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
itraconazole,Treatment of Fungal infections
recombinant human erythropoietin alfa,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
n-butyl--cyanoacrylate, Bleeding
eberconazole,Treatment of Fungal skin infections
pancreatin,Treatment of Pancreatic enzyme deficiency
epalrestat + methylcobalamin, Diabetic nerve pain
levetiracetam,Treatment of Epilepsy/Seizures
methylprednisolone,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders
etoricoxib, Pain relief
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
amoxycillin + pantoprazole + clarithromycin,Treatment of Peptic ulcer disease
phenytoin,Treatment and prevention of Epilepsy/Seizures
hydroquinone + mometasone + tretinoin,Treatment of Melasma
bromelain + trypsin + rutoside, Pain relief
eberconazole,Treatment of Fungal skin infections
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
tranexamic acid + ethamsylate, Heavy menstrual bleeding
dorzolamide,Treatment of Glaucoma
etoricoxib + thiocolchicoside,Treatment of Pain due to muscle spasm
eberconazole,Treatment of Fungal skin infections
etodolac, Pain relief
etoricoxib, Pain relief
epalrestat + methylcobalamin, Diabetic nerve pain
lactulose,Treatment of ConstipationTreatment of Hepatic encephalopathy
amlodipine + metoprolol succinate,Treatment of Hypertension (high blood pressure)
ambroxol + guaifenesin + terbutaline,Treatment of Cough with mucus
domperidone + esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
diclofenac + serratiopeptidase, Pain relief
norethisterone,Treatment of Heavy menstrual bleedingTreatment of Pain during menstruationTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)
adapalene + clindamycin,Treatment of Acne
adapalene + clindamycin,Treatment of Acne
etoricoxib, Pain relief
eberconazole,Treatment of Fungal skin infections
clobetasol,Treatment of Allergic skin conditions
mometasone + salicylic acid, Eczema Psoriasis
domperidone + esomeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia
azelaic acid,Treatment of Acne
telmisartan + hydrochlorothiazide,Treatment of Hypertension (high blood pressure)
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
amlodipine + hydrochlorothiazide, Hypertension (high blood pressure)
dienogest,Treatment of pelvic pain associated with Endometriosis
eslicarbazepine, Epilepsy/Seizures
sodium valproate + valproic acid, Epilepsy
terbinafine, Fungal skin infections
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
progesterone, Hormone replacement therapy Female infertility
sertaconazole,Treatment of Fungal skin infectionsTreatment of Fungal infections
adrenaline + sodium metabisulphite, Pupil dilation
thyroxine,Treatment of Hypothyroidism
eplerenone,Treatment of Hypertension (high blood pressure)Treatment of EdemaTreatment of Heart failure
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
insulin lispro + insulin lispro protamine, Diabetes
amorolfine + phenoxyethanol,Treatment of Fungal infections
enoxaparin,Treatment and prevention of Blood clots
sodium hyaluronate,Treatment of Dry eyes
ebastine + montelukast, Sneezing and runny nose due to allergies
amitriptyline,Treatment of Depression Neuropathic painTreatment of Migraine
metoprolol succinate,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
lactulose,Treatment of ConstipationTreatment of Hepatic encephalopathy
domperidone + rabeprazole,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
thyroxine,Treatment of Hypothyroidism
eplerenone,Treatment of Hypertension (high blood pressure)Treatment of EdemaTreatment of Heart failure
fluorometholone, Redness and swelling in the eye
trastuzumab, Breast cancer Stomach cancer
metoprolol succinate,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
efavirenz,Treatment of HIV infection
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
danazol,Treatment of Benign fibrocystic breast diseaseTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)Treatment of Menstrual pain
betahistine,Treatment of Meniere's disease
etoricoxib, Pain relief
lactitol, Constipation
clobetasol + salicylic acid,Treatment of EczemaTreatment of Psoriasis
thyroxine,Treatment of Hypothyroidism
mometasone + fusidic acid,Treatment of Skin conditions with inflammation & itching
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
sertraline,Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS)
bromelain + trypsin + rutoside, Pain relief
trypsin + rutoside + bromelain + harpagoside, Pain relief
bromelain + trypsin + rutoside, Pain relief
eberconazole,Treatment of Fungal skin infections
amlodipine,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
pancreatin + dimethicone, Indigestion Bloating
etoricoxib, Pain relief
thyroxine,Treatment of Hypothyroidism
etoricoxib, Pain relief
insulin lispro,Treatment of Diabetes
hydroxychloroquine,Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus
trypsin + bromelain + rutoside + diclofenac, Pain relief
eberconazole,Treatment of Fungal skin infections
ondansetron,Treatment of NauseaTreatment of Vomiting
metformin + teneligliptin,Treatment of Type 2 diabetes mellitus
terbinafine, Fungal infections
terbinafine, Fungal infections
mometasone,Treatment of Skin conditions with inflammation & itching
pancreatin,Treatment of Pancreatic enzyme deficiency
etoricoxib, Pain relief
entecavir, Chronic hepatitis B virus (HBV) infection
acebrophylline,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
amoxycillin + clavulanic acid,Treatment of Bacterial infections
amoxycillin + clavulanic acid,Treatment of Bacterial infections
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
telmisartan,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
mometasone,Treatment of Skin conditions with inflammation & itching
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
tadalafil,Treatment of Erectile dysfunction
levetiracetam,Treatment of Epilepsy/Seizures
etoricoxib, Pain relief
cefuroxime,Treatment of Bacterial infections
eribulin mesylate, Metastatic breast cancer
gabapentin + lidocaine, Neuropathic pain
etodolac + thiocolchicoside, Pain due to muscle spasm
deflazacort,Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer
levocetirizine + montelukast,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
trypsin + bromelain + rutoside + diclofenac + papain, Pain relief Swelling
tacrolimus,Treatment of Atopic dermatitis
sucralfate + oxetacaine,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers
etoricoxib, Pain relief
etoricoxib, Pain relief
etoricoxib, Pain relief
fluconazole, Fungal skin infectionsTreatment of Fungal infections
paracetamol, Pain reliefTreatment of Fever
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
clomiphene,Treatment of Female infertility
febuxostat,Treatment of Gout
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
alfuzosin + dutasteride,Treatment of Benign prostatic hyperplasia
fosfomycin, Bacterial infections of urinary tract
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
fluconazole,Treatment of Fungal infections
febuxostat,Treatment of Gout
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
febuxostat,Treatment of Gout
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
deflazacort,Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer
flunarizine,Prevention of Migraine
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
cefuroxime,Treatment of Bacterial infections
cyclobenzaprine, Muscle relaxation
itraconazole,Treatment of Fungal infections
cefuroxime + clavulanic acid,Treatment of Bacterial infections
ciprofloxacin,Treatment of Bacterial infections
furosemide,Treatment of Hypertension (high blood pressure)Treatment of Edema
adapalene + clindamycin,Treatment of Acne
fluticasone propionate,Treatment and prevention of Asthma
clobetasol + miconazole + neomycin,Treatment of Skin infections
fluconazole,Treatment of Fungal infections
fluconazole,Treatment of Fungal infections
itraconazole,Treatment of Fungal infections
amorolfine, Fungal nail infections
glucosamine + diacerein + methyl sulfonyl methane, Osteoarthritis
finasteride,Treatment of Hair loss
fluconazole,Treatment of Fungal infections
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
methotrexate,Treatment of Cancer
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
ibandronic acid,Treatment and prevention of postmenopausal Osteoporosis
beclometasone + fusidic acid, Skin infections
beclometasone + formoterol, Chronic obstructive pulmonary disease (COPD)
fluticasone propionate + azelastine,Treatment of Sneezing and runny nose due to allergies
chlorpheniramine maleate + paracetamol + phenylephrine,Treatment of Common cold
ethinyl estradiol + gestodene, Contraception
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
alpha lipoic acid + folic acid + methylcobalamin + pregabalin + vitamin b, Neuropathic pain
fluvoxamine, Depression Obsessive-compulsive disorder
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
sodium fusidate, Bacterial skin infections
fluconazole,Treatment of Fungal infections
salmeterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
ferric carboxymaltose,Treatment of Iron deficiency anemia
febuxostat,Treatment of Gout
lactitol + ispaghula,Treatment of Constipation
sodium fusidate, Bacterial skin infections
itraconazole,Treatment of Fungal infections
estradiol + estradiol + dydrogesterone, Hormone replacement therapy
finasteride,Treatment of Hair loss
letrozole,Treatment of Breast cancerTreatment of Infertility due to anovulation
piroxicam, Pain relief
febuxostat,Treatment of Gout
favipiravir,Treatment of Coronavirus disease (COVID-19)
ulipristal acetate, Uterine fibroids
fenticonazole, Fungal infections of vagina
neomycin + fluorometholone,Treatment of Bacterial eye infections
methotrexate,Treatment of CancerTreatment of Rheumatoid arthritisTreatment of PsoriasisTreatment of Crohn’s disease
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
salmeterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
fosfomycin, Bacterial infections of urinary tract
fluconazole,Treatment of Fungal infections
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
trimetazidine,Treatment of Angina (heart-related chest pain)
cefpodoxime proxetil,Treatment of Bacterial infections
dalteparin,Treatment and prevention of Blood clots
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
pirfenidone,Treatment of Idiopathic pulmonary fibrosis
fluconazole,Treatment of Fungal infections
mefenamic acid + paracetamol, Pain reliefTreatment of Fever
febuxostat,Treatment of Gout
fluorometholone, Redness and swelling in the eye
fondaparinux, Deep vein thrombosis Pulmonary embolism
fluorouracil, Actinic keratosis
febuxostat,Treatment of Gout
febuxostat,Treatment of Gout
fluconazole,Treatment of Fungal infections
glimepiride + metformin + pioglitazone,Treatment of Type 2 diabetes mellitus
amorolfine + phenoxyethanol,Treatment of Fungal infections
tobramycin + fluorometholone,Treatment of Bacterial eye infections
flurbiprofen,Treatment of Post-operative eye pain and inflammation
chlorpheniramine maleate + phenylephrine,Treatment of Common cold
beclometasone + fusidic acid, Skin infections
obeticholic acid,Treatment of Primary biliary cirrhosis
fluocinolone acetonide, Skin conditions with inflammation & itching
formoterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
adapalene + clindamycin,Treatment of Acne
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
albumin, Short term fluid replacement after trauma
ofloxacin + flavoxate,Treatment of Urinary tract infections (UTIs)
paracetamol, Pain reliefTreatment of Fever
fluconazole,Treatment of Fungal infections
paracetamol, Pain reliefTreatment of Fever
recombinant follicle stimulating hormone, Female infertility Male hypogonadism
insulin aspart,Treatment of Diabetes
fenofibrate, High cholesterol
flumazenil, Benzodiazepine overdose
itraconazole,Treatment of Fungal infections
ibuprofen + paracetamol, Pain reliefTreatment of Fever
beclometasone + fusidic acid, Skin infections
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
fluconazole + zinc pyrithione,Treatment of Dandruff
febuxostat,Treatment of Gout
fluvoxamine, Depression Obsessive-compulsive disorder
fluconazole,Treatment of Fungal infections
methotrexate,Treatment of Rheumatoid arthritisTreatment of PsoriasisTreatment of CancerTreatment of Crohn’s disease
salmeterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
alendronic acid + vitamin d, Osteoporosis
ursodeoxycholic acid,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
aceclofenac + paracetamol + serratiopeptidase, Pain relief
formoterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
flecainide, Arrhythmia
fluconazole,Treatment of Fungal infections
atorvastatin + fenofibrate,Treatment of High cholesterolPrevention of Heart attack
estradiol + dydrogesterone, Hormone replacement therapy
fluticasone propionate,Treatment of Skin conditions with inflammation & itching
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
febuxostat,Treatment of Gout
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
fluconazole,Treatment of Fungal infections
febuxostat,Treatment of Gout
lactitol + ispaghula,Treatment of Constipation
beclometasone + clotrimazole,Treatment of Fungal skin infections
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
fluvoxamine, Depression Obsessive-compulsive disorder
itraconazole,Treatment of Fungal infections
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
tinidazole, Bacterial infections Parasitic infections
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
fenofibrate, High cholesterol
chlorhexidine gluconate + clobetasol + miconazole + neomycin,Treatment of Skin infections
pentosan polysulfate sodium,Treatment of Interstitial cystitis
fluorometholone, Redness and swelling in the eye
formoterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
beclometasone + formoterol, Chronic obstructive pulmonary disease (COPD)
formoterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
fluconazole,Treatment of Fungal infections
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
fluconazole,Treatment of Fungal infections
febuxostat,Treatment of Gout
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
fluvoxamine, Depression Obsessive-compulsive disorder
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
urofollitropin, Female infertility
rifaximin,Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea
ketoconazole, Fungal skin infections
fluticasone propionate + mupirocin, Severe allergic reactionsTreatment of Skin conditions with inflammation & itching
fondaparinux, Deep vein thrombosis Pulmonary embolism
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
itraconazole,Treatment of Fungal infections
fondaparinux, Deep vein thrombosis Pulmonary embolism
formoterol + mometasone, Chronic obstructive pulmonary disease (COPD)
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
itraconazole,Treatment of Fungal infections
chlorhexidine gluconate + clobetasol + miconazole + neomycin,Treatment of Skin infections
lactitol + ispaghula,Treatment of Constipation
fluconazole,Treatment of Fungal infections
metformin + methylcobalamin,Treatment of Type 2 diabetes mellitus
methotrexate,Treatment of Rheumatoid arthritisTreatment of PsoriasisTreatment of CancerTreatment of Crohn’s disease
levetiracetam,Treatment of Epilepsy/Seizures
fluvoxamine, Depression Obsessive-compulsive disorder
luliconazole,Treatment of Fungal skin infections
salmeterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
favipiravir,Treatment of Coronavirus disease (COVID-19)
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
pregabalin + nortriptyline + methylcobalamin,Treatment of Neuropathic pain
febuxostat,Treatment of Gout
febuxostat,Treatment of Gout
degarelix, Prostate cancer
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
clindamycin + nicotinamide,Treatment of Acne
terbinafine, Fungal infections
febuxostat,Treatment of Gout
famciclovir, Herpes labialis Herpes Simplex Virus Infections Shingles Genital herpes infection
fluticasone furoate,Treatment of Sneezing and runny nose due to allergies
flupirtine, Pain relief
anastrozole, Breast cancer
lornoxicam, Pain relief
fluticasone furoate,Treatment of Sneezing and runny nose due to allergies
aceclofenac + paracetamol + chlorzoxazone,Treatment of Muscular pain
luliconazole,Treatment of Fungal skin infections
moxifloxacin,Treatment of Bacterial eye infections
flunarizine,Prevention of Migraine
amorolfine, Fungal nail infections
fenticonazole, Fungal infections of vagina
paracetamol, Pain reliefTreatment of Fever
formoterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
formoterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
ethinyl estradiol + levonorgestrel, Contraception
finasteride,Treatment of Benign prostatic hyperplasia
fluconazole,Treatment of Fungal infections
fluvoxamine, Depression Obsessive-compulsive disorder
fluoxetine + olanzapine, Bipolar depression
itraconazole,Treatment of Fungal infections
fluticasone propionate,Treatment and prevention of Asthma
allantoin + clotrimazole,Treatment of Fungal skin infections
fluorometholone, Redness and swelling in the eye
luliconazole,Treatment of Fungal skin infections
tadalafil,Treatment of Erectile dysfunction
finasteride,Treatment of Hair loss
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
ibutilide, Arrhythmia
terbinafine, Fungal infections
fenticonazole, Fungal infections of vagina
mometasone + fusidic acid,Treatment of Skin conditions with inflammation & itching
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
mometasone + fusidic acid,Treatment of Skin conditions with inflammation & itching
bifonazole, Fungal skin infections
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
febuxostat,Treatment of Gout
formoterol + mometasone, Chronic obstructive pulmonary disease (COPD)
beclometasone + fusidic acid, Skin infections
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
isotretinoin,Treatment of Acne
terbinafine, Fungal infections
finasteride,Treatment of Hair lossTreatment of Benign prostatic hyperplasia
formoterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
fluorometholone, Redness and swelling in the eye
formoterol + mometasone, Chronic obstructive pulmonary disease (COPD)
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
ulipristal acetate, Uterine fibroids
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
fondaparinux, Deep vein thrombosis Pulmonary embolism
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
fluorometholone, Redness and swelling in the eye
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
mometasone,Treatment of Skin conditions with inflammation & itching
fenticonazole, Fungal infections of vagina
febuxostat,Treatment of Gout
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
paracetamol, Pain reliefTreatment of Fever
ceftazidime, Bacterial infections
febuxostat,Treatment of Gout
salmeterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
escitalopram oxalate,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
diclofenac, Pain relief
formoterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
human chorionic gonadotropin,Treatment of Female infertilityTreatment of Male hypogonadism
fluconazole,Treatment of Fungal infections
fluorometholone, Redness and swelling in the eye
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
formoterol + budesonide,Treatment of Chronic obstructive pulmonary disease (COPD)
itraconazole,Treatment of Fungal infections
alendronic acid + vitamin d, Osteoporosis
fingolimod, Multiple sclerosis (MS)
ketoconazole + zinc pyrithione,Treatment of Dandruff
terbinafine, Fungal skin infections
montelukast + fexofenadine,Treatment of Sneezing and runny nose due to allergies
finasteride,Treatment of Benign prostatic hyperplasia
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
fluconazole,Treatment of Fungal infections
formoterol + mometasone, Chronic obstructive pulmonary disease (COPD)
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
clotrimazole,Treatment of Fungal skin infections
itraconazole,Treatment of Fungal infections
fosfomycin, Bacterial infections of urinary tract
cefpodoxime proxetil + clavulanic acid,Treatment of Respiratory tract infection
febuxostat,Treatment of Gout
diclofenac, Pain relief
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
fulvestrant, Breast cancer
paracetamol, Pain reliefTreatment of Fever
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
methotrexate,Treatment of Rheumatoid arthritisTreatment of PsoriasisTreatment of CancerTreatment of Crohn’s disease
rifaximin,Treatment of Infectious diarrhea
luliconazole,Treatment of Fungal skin infections
fluconazole, Fungal skin infectionsTreatment of Fungal infections
rebamipide,Treatment of Dry eyes
febuxostat,Treatment of Gout
fenticonazole, Fungal infections of vagina
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
flunarizine,Prevention of Migraine
terbinafine, Fungal skin infections
febuxostat,Treatment of Gout
clotrimazole,Treatment of Fungal skin infections
metformin + methylcobalamin,Treatment of Type 2 diabetes mellitus
fimasartan, Heart failure Hypertension (high blood pressure) Prevention of heart attack and stroke
salmeterol + fluticasone propionate,Treatment of Chronic obstructive pulmonary disease (COPD)
fosfomycin, Bacterial infections of urinary tract
levetiracetam,Treatment of Epilepsy/Seizures
beclometasone + fusidic acid, Skin infections
milnacipran, Fibromyalgia Depression
ketoconazole, Fungal skin infections
pirfenidone,Treatment of Idiopathic pulmonary fibrosis
febuxostat,Treatment of Gout
fluvoxamine, Depression Obsessive-compulsive disorder
folic acid,Treatment of Anemia due to folic acid deficiency
fluconazole, Fungal skin infectionsTreatment of Fungal infections
flupenthixol, Schizophrenia Depression Bipolar disorder
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
febuxostat,Treatment of Gout
beclometasone + clotrimazole,Treatment of Fungal skin infections
sevelamer, High phosphate levels in blood
human hepatitis b immunoglobulin, Prevention of Hepatitis B infection
ofloxacin, Bacterial eye infectionsTreatment of Bacterial infections
fusidic acid,Treatment of Bacterial skin infections Bacterial eye infections
febuxostat,Treatment of Gout
favipiravir,Treatment of Coronavirus disease (COVID-19)
terbinafine, Fungal skin infections
mycophenolate sodium, Prevention of organ rejection in transplant patients
fluconazole,Treatment of Fungal infections
itraconazole,Treatment of Fungal skin infections
fenofibrate + rosuvastatin,Treatment of High cholesterolPrevention of Heart attack
fexofenadine,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
fluoxetine,Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder
mesalazine, Ulcerative colitis Crohn’s disease
itraconazole,Treatment of Fungal skin infections
terbinafine, Fungal skin infections
fimasartan, Heart failure Hypertension (high blood pressure) Prevention of heart attack and stroke
drotaverine + aceclofenac,Treatment of Abdominal pain
ofloxacin + ornidazole + itraconazole + clobetasol, Skin infections
fluconazole,Treatment of Fungal infections
favipiravir,Treatment of Coronavirus disease (COVID-19)
choline salicylate,Treatment of Mouth ulcers
itraconazole,Treatment of Fungal infections
metformin,Treatment of Type 2 diabetes mellitus
metformin,Treatment of Type 2 diabetes mellitus
clobetasol + salicylic acid,Treatment of EczemaTreatment of Psoriasis
gabapentin + nortriptyline,Treatment of Neuropathic pain
metformin,Treatment of Type 2 diabetes mellitus
cefpodoxime proxetil,Treatment of Bacterial infections
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
cefpodoxime proxetil + clavulanic acid,Treatment of Respiratory tract infection
gabapentin + nortriptyline,Treatment of Neuropathic pain
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
terbutaline + bromhexine,Treatment of Cough
gabapentin,Treatment of Neuropathic painTreatment of Epilepsy/Seizures
metformin,Treatment of Type 2 diabetes mellitus
domperidone + paracetamol,Treatment of Migraine
pantoprazole + itopride, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
metformin + vildagliptin,Treatment of Type 2 diabetes mellitus
itopride,Treatment of HeartburnTreatment of Nausea
glipizide + metformin,Treatment of Type 2 diabetes mellitus
glimepiride + metformin + voglibose,Treatment of Type 2 diabetes mellitus
glimepiride + metformin,Treatment of Type 2 diabetes mellitus
hydroxypropylmethylcellulose, Dry eyes
gabapentin + nortriptyline,Treatment of Neuropathic pain
levocloperastine,Treatment of Dry cough
gliclazide + metformin,Treatment of Type 2 diabetes mellitus
